Company Tickers,P/E Current,P/E Ratio (w/ extraordinary items),P/E Ratio (w/o extraordinary items),Price to Sales Ratio,Price to Book Ratio,Price to Cash Flow Ratio,Enterprise Value to EBITDA,Enterprise Value to Sales,Total Debt to Enterprise Value,Revenue/Employee,Income Per Employeee,Receivables Turnover,Total Asset Turnover,Current Ratio,Quick Ratio,Cash Ratio,Gross Margin,Operating Margin,Pretax Margin,Net Margin,Return on Assets,Return on Equity,Return on Total Capital,Return on Invested Capital,Total Debt to Total Equity,Total Debt to Total Capital,Total Debt to Total Assets,Long-Term Debt to Equity,Long-Term Debt to Total Capital
ALLE,19.94,20.21,24.82,4.18,15.39,24.53,16.84,3.59,N/A,N/A,N/A,N/A,0.94,1.86,1.23,0.66,42.01%,18.81%,18.27%,16.84%,15.78%,60.81%,23.19%,N/A,N/A,N/A,50.29,N/A,N/A
LNT,24.10,22.89,23.39,4.20,2.57,26.48,16.36,5.99,N/A,N/A,N/A,N/A,0.20,0.52,0.40,0.02,24.50%,21.67%,16.35%,18.37%,3.59%,11.35%,5.89%,N/A,N/A,N/A,41.03,N/A,N/A
ALL,6.94,40.00,6.31,0.70,1.42,6.88,5.57,0.86,N/A,N/A,N/A,N/A,0.49,0.44,N/A,N/A,N/A,13.79%,12.75%,10.26%,4.98%,18.75%,19.97%,N/A,N/A,N/A,9.31,N/A,N/A
GOOGL,21.69,22.37,25.82,7.62,7.62,21.42,16.22,5.33,N/A,N/A,N/A,N/A,0.76,2.93,2.91,2.17,56.91%,30.51%,35.24%,29.53%,22.40%,32.07%,29.62%,N/A,N/A,N/A,7.94,N/A,N/A
GOOG,21.69,22.37,25.82,7.62,7.62,21.42,16.22,5.33,N/A,N/A,N/A,N/A,0.76,2.93,2.91,2.17,56.91%,30.51%,35.24%,29.53%,22.40%,32.07%,29.62%,N/A,N/A,N/A,7.94,N/A,N/A
MO,33.81,46.91,35.48,4.14,N/A,10.40,8.75,5.04,N/A,N/A,N/A,N/A,0.49,0.71,0.57,0.53,66.28%,55.58%,18.11%,11.67%,5.67%,399.68%,39.86%,N/A,N/A,N/A,70.96,N/A,N/A
AMZN,44.32,125.84,51.47,3.65,12.28,37.07,30.98,3.08,N/A,N/A,N/A,N/A,1.27,1.14,0.91,0.68,42.03%,5.31%,8.12%,7.10%,9.00%,28.81%,10.74%,N/A,N/A,N/A,31.46,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMD,39.19,52.57,56.80,10.93,23.53,51.01,38.76,7.44,N/A,N/A,N/A,N/A,1.54,2.02,1.56,0.85,48.25%,22.38%,22.33%,19.24%,29.58%,47.43%,50.25%,N/A,N/A,N/A,5.89,N/A,N/A
AEE,24.67,24.38,23.16,3.59,2.36,13.80,14.59,5.47,N/A,N/A,N/A,N/A,0.19,0.70,0.49,0.01,28.86%,20.85%,18.02%,15.48%,2.92%,10.62%,6.05%,N/A,N/A,N/A,38.09,N/A,N/A
