Company Tickers,P/E Current,P/E Ratio (w/ extraordinary items),P/E Ratio (w/o extraordinary items),Price to Sales Ratio,Price to Book Ratio,Price to Cash Flow Ratio,Enterprise Value to EBITDA,Enterprise Value to Sales,Total Debt to Enterprise Value,Revenue/Employee,Income Per Employeee,Receivables Turnover,Total Asset Turnover,Current Ratio,Quick Ratio,Cash Ratio,Gross Margin,Operating Margin,Pretax Margin,Net Margin,Return on Assets,Return on Equity,Return on Total Capital,Return on Invested Capital,Total Debt to Total Equity,Total Debt to Total Capital,Total Debt to Total Assets,Long-Term Debt to Equity,Long-Term Debt to Total Capital
F,3.64,5.62,4.67,0.61,1.76,5.31,14.09,1.05,N/A,N/A,N/A,N/A,0.52,1.20,1.07,0.55,1800.00,369.00,1304.00,1316.00,684.00,4529.00,264.00,N/A,N/A,N/A,54.27,N/A,N/A
FTNT,74.75,65.25,98.97,17.97,74.48,40.05,57.63,11.03,N/A,N/A,N/A,N/A,0.67,1.55,1.48,1.10,7602.00,1932.00,1880.00,1816.00,1218.00,7410.00,4675.00,N/A,N/A,N/A,17.83,N/A,N/A
FTV,42.06,37.70,46.83,5.11,2.88,27.96,22.57,5.02,N/A,N/A,N/A,N/A,0.32,0.68,0.54,0.22,5728.00,1582.00,1289.00,1169.00,378.00,665.00,614.00,N/A,N/A,N/A,25.16,N/A,N/A
FBHS,12.55,12.15,19.31,1.95,4.71,21.65,8.55,1.43,N/A,N/A,N/A,N/A,1.00,1.39,0.79,0.24,3506.00,1443.00,1313.00,1009.00,1010.00,2645.00,1921.00,N/A,N/A,N/A,36.68,N/A,N/A
FOXA,17.27,16.96,15.21,1.31,N/A,9.73,7.78,1.63,N/A,N/A,N/A,N/A,0.62,3.61,3.26,2.26,3216.00,1842.00,1212.00,862.00,534.00,1073.00,1333.00,N/A,N/A,N/A,32.48,N/A,N/A
FOX,17.27,16.96,15.21,1.31,N/A,9.73,7.78,1.63,N/A,N/A,N/A,N/A,0.62,3.61,3.26,2.26,3216.00,1842.00,1212.00,862.00,534.00,1073.00,1333.00,N/A,N/A,N/A,32.48,N/A,N/A
BEN,8.12,8.57,8.32,1.71,1.33,11.83,6.88,2.05,0.40,826835.00,170243.00,6.48,0.38,N/A,N/A,N/A,7109.00,2552.00,2870.00,2059.00,790.00,1644.00,1181.00,1047.00,67.62,40.34,31.40,65.81,39.26
FCX,10.90,9.48,14.39,2.77,4.35,8.02,4.83,1.92,N/A,N/A,N/A,N/A,0.50,2.52,1.75,1.39,3707.00,3495.00,3426.00,1923.00,954.00,3560.00,2545.00,N/A,N/A,N/A,20.34,N/A,N/A
GRMN,17.85,19.08,23.99,5.21,4.24,25.64,12.77,3.51,N/A,N/A,N/A,N/A,0.67,2.93,2.08,1.27,5801.00,2446.00,2422.00,2172.00,1454.00,1861.00,2063.00,N/A,N/A,N/A,1.15,N/A,N/A
IT,33.45,33.90,36.31,6.09,74.24,21.95,23.40,5.35,N/A,N/A,N/A,N/A,0.64,0.66,0.66,0.23,6501.00,1857.00,2049.00,1676.00,1077.00,10860.00,2327.00,N/A,N/A,N/A,43.83,N/A,N/A
